CoC Number,CoC Name,CoC Category,"Total Homeless, 2019","Sheltered Homeless, 2019","Unsheltered Homeless, 2019","Homeless Individuals, 2019","Sheltered Homeless Individuals, 2019","Unsheltered Homeless Individuals, 2019","Homeless People in Families, 2019","Sheltered Homeless People in Families, 2019","Unsheltered Homeless People in Families, 2019","Chronically Homeless, 2019","Sheltered Chronically Homeless, 2019","Unsheltered Chronically Homeless, 2019","Chronically Homeless Individuals, 2019","Sheltered Chronically Homeless Individuals, 2019","Unsheltered Chronically Homeless Individuals, 2019","Chronically Homeless People in Families, 2019","Sheltered Chronically Homeless People in Families, 2019","Unsheltered Chronically Homeless People in Families, 2019","Homeless Veterans, 2019","Sheltered Homeless Veterans, 2019","Unsheltered Homeless Veterans, 2019","Homeless Unaccompanied Youth (Under 25), 2019","Sheltered Homeless Unaccompanied Youth (Under 25), 2019","Unsheltered Homeless Unaccompanied Youth (Under 25), 2019","Homeless Unaccompanied Youth (Under 18), 2019","Sheltered Homeless Unaccompanied Youth (Under 18), 2019","Unsheltered Homeless Unaccompanied Youth (Under 18), 2019","Homeless Unaccompanied Youth (Age 18-24), 2019","Sheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Unsheltered Homeless Unaccompanied Youth (Age 18-24), 2019","Parenting Youth (Under 25), 2019","Sheltered Parenting Youth (Under 25), 2019","Unsheltered Parenting Youth (Under 25), 2019","Parenting Youth Under 18, 2019","Homeless Parenting Youth Under 18, 2019","Unsheltered Homeless Parenting Youth Under 18, 2019","Parenting Youth Age 18-24, 2019","Sheltered Parenting Youth Age 18-24, 2019","Unsheltered Parenting Youth Age 18-24, 2019","Children of Parenting Youth, 2019","Sheltered Children of Parenting Youth, 2019","Unsheltered Children of Parenting Youth, 2019"
AK-500,Anchorage CoC,Other Largely Urban CoC,"1,111","1,014",97,799,702,97,312,312,0,91,73,18,79,61,18,12,12,0,47,37,10,106,105,1,3,3,0,103,102,1,17,17,0,0,0,0,17,17,0,24,24,0
AK-501,Alaska Balance of State CoC,Largely Rural CoC,796,620,176,585,416,169,211,204,7,178,97,81,152,73,79,26,24,2,64,48,16,70,50,20,11,11,0,59,39,20,3,3,0,0,0,0,3,3,0,3,3,0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,981,655,326,805,495,310,176,160,16,101,83,18,97,79,18,4,4,0,91,75,16,67,26,41,4,3,1,63,23,40,7,7,0,0,0,0,7,7,0,7,7,0
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,505,303,202,329,150,179,176,153,23,43,10,33,38,10,28,5,0,5,53,43,10,9,2,7,0,0,0,9,2,7,4,4,0,0,0,0,4,4,0,6,6,0
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,390,189,201,383,182,201,7,7,0,21,19,2,21,19,2,0,0,0,20,15,5,156,8,148,148,0,148,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,464,377,87,340,253,87,124,124,0,96,66,30,94,64,30,2,2,0,40,28,12,25,24,1,4,4,0,21,20,1,2,2,0,0,0,0,2,2,0,2,2,0
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,330,273,57,228,171,57,102,102,0,62,43,19,59,40,19,3,3,0,55,44,11,13,9,4,2,2,0,11,7,4,6,6,0,0,0,0,6,6,0,10,10,0
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,224,75,149,189,62,127,35,13,22,30,1,29,25,1,24,5,0,5,18,7,11,8,2,6,0,0,0,8,2,6,1,1,0,0,0,0,1,1,0,4,4,0
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,44,44,0,27,27,0,17,17,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-507,Alabama Balance of State CoC,Largely Rural CoC,323,154,169,218,89,129,105,65,40,16,8,8,16,8,8,0,0,0,6,2,4,42,31,11,8,6,2,34,25,9,2,1,1,0,0,0,2,1,1,5,1,4
AR-500,Little Rock/Central Arkansas CoC,Other Largely Urban CoC,"1,066",493,573,906,355,551,160,138,22,296,76,220,289,69,220,7,7,0,135,79,56,56,31,25,0,0,0,56,31,25,5,5,0,0,0,0,5,5,0,6,6,0
AR-501,Fayetteville/Northwest Arkansas CoC,Other Largely Urban CoC,518,281,237,439,223,216,79,58,21,120,53,67,120,53,67,0,0,0,44,34,10,118,84,34,35,34,1,83,50,33,2,2,0,0,0,0,2,2,0,1,1,0
AR-503,Arkansas  Balance of State  CoC,Largely Rural CoC,811,266,545,736,232,504,75,34,41,177,56,121,169,48,121,8,8,0,31,17,14,146,15,131,0,0,0,146,15,131,0,0,0,0,0,0,0,0,0,0,0,0
AR-505,Southeast Arkansas CoC,Largely Rural CoC,75,75,0,35,35,0,40,40,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,0,3,3,0,4,4,0,0,0,0,4,4,0,8,8,0
AR-508,Fort Smith CoC,Largely Rural CoC,247,187,60,187,127,60,60,60,0,98,53,45,98,53,45,0,0,0,27,22,5,13,10,3,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0
AZ-500,Arizona Balance of State CoC,Largely Rural CoC,"2,021","1,038",983,"1,575",682,893,446,356,90,558,91,467,515,91,424,43,0,43,231,108,123,96,52,44,9,9,0,87,43,44,8,7,1,0,0,0,8,7,1,12,11,1
AZ-501,Tucson/Pima County CoC,Major City CoC,"1,372","1,011",361,"1,015",654,361,357,357,0,356,169,187,345,158,187,11,11,0,204,156,48,79,61,18,6,6,0,73,55,18,26,26,0,0,0,0,26,26,0,33,33,0
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major City CoC,"6,614","3,426","3,188","4,948","1,763","3,185","1,666","1,663",3,962,406,556,906,350,556,56,56,0,475,334,141,412,194,218,25,24,1,387,170,217,24,24,0,0,0,0,24,24,0,35,35,0
CA-500,San Jose/Santa Clara City & County CoC,Major City CoC,"9,706","1,784","7,922","8,785","1,106","7,679",921,678,243,"2,471",376,"2,095","2,353",318,"2,035",118,58,60,653,208,445,"1,868",94,"1,774",268,2,266,"1,600",92,"1,508",58,33,25,2,2,0,56,31,25,76,52,24
CA-501,San Francisco CoC,Major City CoC,"8,035","2,855","5,180","7,404","2,250","5,154",631,605,26,"3,030","1,122","1,908","2,855",951,"1,904",175,171,4,608,117,491,"1,145",201,944,54,13,41,"1,091",188,903,44,31,13,0,0,0,44,31,13,54,41,13
CA-502,"Oakland, Berkeley/Alameda County CoC",Major City CoC,"8,022","1,710","6,312","7,498","1,213","6,285",524,497,27,"2,236",617,"1,619","2,103",487,"1,616",133,130,3,692,147,545,731,143,588,29,20,9,702,123,579,20,19,1,0,0,0,20,19,1,25,24,1
CA-503,Sacramento City & County CoC,Major City CoC,"5,561","1,661","3,900","4,429","1,096","3,333","1,132",565,567,"1,641",419,"1,222","1,412",380,"1,032",229,39,190,667,179,488,371,152,219,28,14,14,343,138,205,59,26,33,0,0,0,59,26,33,102,37,65
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Largely Suburban CoC,"2,951",994,"1,957","2,672",741,"1,931",279,253,26,675,138,537,653,123,530,22,15,7,210,68,142,657,41,616,117,4,113,540,37,503,9,2,7,0,0,0,9,2,7,7,3,4
CA-505,Richmond/Contra Costa County CoC,Largely Suburban CoC,"2,295",668,"1,627","1,976",477,"1,499",319,191,128,504,146,358,454,127,327,50,19,31,114,39,75,116,43,73,0,0,0,116,43,73,9,5,4,0,0,0,9,5,4,15,6,9
CA-506,"Salinas/Monterey, San Benito Counties CoC",Largely Rural CoC,"2,704",706,"1,998","2,037",342,"1,695",667,364,303,641,102,539,614,81,533,27,21,6,187,70,117,325,38,287,10,0,10,315,38,277,8,7,1,0,0,0,8,7,1,12,10,2
CA-507,Marin County CoC,Largely Suburban CoC,"1,034",326,708,887,196,691,147,130,17,257,86,171,250,84,166,7,2,5,99,19,80,107,6,101,8,0,8,99,6,93,3,3,0,0,0,0,3,3,0,2,2,0
CA-508,Watsonville/Santa Cruz City & County CoC,Largely Suburban CoC,"2,167",467,"1,700","1,748",271,"1,477",419,196,223,403,123,280,354,91,263,49,32,17,151,23,128,608,18,590,39,13,26,569,5,564,17,9,8,4,4,0,13,5,8,25,15,10
CA-509,Mendocino County CoC,Largely Rural CoC,785,247,538,681,152,529,104,95,9,123,48,75,118,46,72,5,2,3,16,7,9,45,25,20,0,0,0,45,25,20,3,3,0,0,0,0,3,3,0,3,3,0
CA-510,"Turlock, Modesto/Stanislaus County CoC",Largely Suburban CoC,"1,923",835,"1,088","1,514",499,"1,015",409,336,73,285,94,191,260,78,182,25,16,9,133,54,79,89,34,55,6,2,4,83,32,51,15,15,0,0,0,0,15,15,0,17,17,0
CA-511,Stockton/San Joaquin County CoC,Other Largely Urban CoC,"2,631","1,073","1,558","2,102",554,"1,548",529,519,10,742,145,597,704,107,597,38,38,0,153,82,71,113,25,88,4,4,0,109,21,88,16,16,0,0,0,0,16,16,0,18,18,0
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,"1,512",611,901,"1,111",272,839,401,339,62,321,69,252,318,66,252,3,3,0,69,35,34,35,17,18,1,0,1,34,17,17,12,12,0,0,0,0,12,12,0,12,12,0
CA-513,"Visalia/Kings, Tulare Counties CoC",Other Largely Urban CoC,"1,064",289,775,929,188,741,135,101,34,315,14,301,304,10,294,11,4,7,70,10,60,65,29,36,0,0,0,65,29,36,3,3,0,0,0,0,3,3,0,3,3,0
CA-514,Fresno City & County/Madera County CoC,Major City CoC,"2,508",439,"2,069","2,267",214,"2,053",241,225,16,698,23,675,692,23,669,6,0,6,235,69,166,112,28,84,6,6,0,106,22,84,7,7,0,0,0,0,7,7,0,15,15,0
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,617,321,296,493,202,291,124,119,5,238,109,129,216,89,127,22,20,2,46,16,30,25,13,12,0,0,0,25,13,12,6,6,0,0,0,0,6,6,0,10,10,0
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,"1,349",543,806,"1,144",363,781,205,180,25,318,59,259,304,48,256,14,11,3,90,32,58,89,30,59,4,3,1,85,27,58,8,8,0,0,0,0,8,8,0,7,7,0
CA-517,Napa City & County CoC,Other Largely Urban CoC,322,172,150,270,125,145,52,47,5,149,71,78,144,71,73,5,0,5,14,8,6,23,8,15,0,0,0,23,8,15,0,0,0,0,0,0,0,0,0,0,0,0
CA-518,Vallejo/Solano County CoC,Other Largely Urban CoC,"1,151",219,932,"1,072",148,924,79,71,8,179,38,141,169,30,139,10,8,2,147,29,118,209,34,175,5,0,5,204,34,170,6,5,1,0,0,0,6,5,1,6,5,1
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,"1,266",428,838,"1,067",247,820,199,181,18,256,73,183,227,44,183,29,29,0,88,23,65,81,18,63,12,4,8,69,14,55,5,3,2,1,1,0,4,2,2,4,3,1
CA-520,Merced City & County CoC,Largely Suburban CoC,608,320,288,419,144,275,189,176,13,195,66,129,174,45,129,21,21,0,18,2,16,21,5,16,3,0,3,18,5,13,0,0,0,0,0,0,0,0,0,0,0,0
