coc_number,total_population,total_pop_in_poverty
AK-500,266776,25217
AK-501,407919,47541
AL-500,958459,138532
AL-501,605701,97891
AL-502,265633,43256
AL-503,569734,76264
AL-504,383941,69293
AL-505,NA,NA
AL-506,206213,34058
AL-507,1484631,298975
AR-500,591922,85862
AR-501,531472,69337
AR-503,951334,176646
AR-504,354249,65826
AR-505,301619,61890
AR-508,NA,NA
AS-500,NA,NA
AZ-500,1668095,296907
AZ-501,1019722,176222
AZ-502,4258868,619063
CA-500,1922200,149850
CA-501,846990,89289
CA-502,1613217,166363
CA-503,1510023,235982
CA-504,501317,50714
CA-505,1126871,101935
CA-506,490898,64015
CA-507,252346,18821
CA-508,273765,37429
CA-509,87422,15877
CA-510,539301,86066
CA-511,732212,114294
CA-512,751863,52197
CA-513,610552,143870
CA-514,1133143,262616
CA-515,380077,30293
CA-516,301164,48680
CA-517,140530,11168
CA-518,434457,43773
CA-519,227075,44410
CA-520,269075,59660
CA-521,214977,40583
CA-522,134391,26688
CA-523,62223,10572
CA-524,171365,28479
CA-525,186661,16537
CA-526,154536,17715
CA-527,63373,13464
CA-529,64148,13224
CA-530,33405,3473
CA-531,99092,11169
CA-600,9250051,1450939
CA-601,3285592,400923
CA-602,3147204,357826
CA-603,443738,63010
CA-604,883053,187232
CA-606,453495,82090
CA-607,138560,21837
CA-608,2383286,345724
CA-609,2135413,359080
CA-611,848112,80058
CA-612,200372,29543
CA-613,180216,41191
CA-614,274740,34811
CO-500,1729594,215825
CO-503,3069421,296345
CO-504,688153,72948
CT-503,922921,79169
CT-505,2616456,265649
DC-500,684498,109497
DE-500,945969,109648
FL-500,741077,80996
FL-501,1364933,206580
FL-502,868886,114290
FL-503,668671,108755
FL-504,624114,89487
FL-505,247380,30469
FL-506,438785,82461
FL-507,2114899,313356
FL-508,420469,87551
FL-509,597174,78501
FL-510,1212098,169756
FL-511,446546,52635
FL-512,233848,19563
FL-513,516138,66308
FL-514,348371,56264
FL-515,278323,42899
FL-517,259790,57070
FL-518,136042,23332
FL-519,507809,67244
FL-520,773724,98819
FL-600,2641109,473481
FL-601,1900426,254384
FL-602,174432,19101
FL-603,680750,94913
FL-604,26234,3409
FL-605,1436779,182217
FL-606,322911,40852
GA-500,468305,94155
GA-501,6973942,1099489
GA-502,588700,60049
GA-503,124602,35653
GA-504,201463,44956
GA-505,254883,51574
GA-506,745057,73439
GA-507,287049,43183
GA-508,711696,116707
GU-500,NA,NA
HI-500,427855,53510
HI-501,946802,78428
IA-500,122715,16435
IA-501,2446870,277651
IA-502,489728,52802
ID-500,446052,47982
ID-501,1241757,180900
IL-500,301873,21432
IL-501,443980,66101
IL-502,724967,58173
IL-503,209448,40411
IL-504,265670,35625
IL-506,806899,56561
IL-507,392550,48496
IL-508,271363,43031
IL-510,2673731,509960
IL-511,2476939,256325
IL-512,528399,73408
IL-513,197661,29431
IL-514,919216,60052
IL-515,398251,53102
IL-516,106512,16645
IL-517,597337,55824
IL-518,652333,82176
IL-519,221267,29477
IL-520,572522,88390
IN-502,5692903,733029
IN-503,944523,175330
KS-502,512064,70537
KS-503,178284,22228
KS-505,585502,32365
KS-507,1468581,192521
KY-500,3354316,606850
KY-501,767154,110907
KY-502,318734,54323
LA-500,653795,129890
LA-502,479778,103932
LA-503,823010,158661
LA-505,353159,87351
LA-506,577576,85578
LA-507,305140,58700
LA-509,1452077,250266
MA-500,676240,128037
MA-502,93617,16124
MA-503,230678,16308
MA-504,469116,77830
MA-505,95117,19717
MA-506,822280,82745
MA-507,359422,39334
MA-508,111249,22042
MA-509,115665,13070
MA-510,594993,46559
MA-510 and MA-516 Shared Jurisdiction,900544,43926
MA-511,596400,47293
MA-515,89339,17060
MA-516,1073642,96381
MA-517,125581,11694
MA-519,369362,25307
MD-500,71977,10558
MD-501,602192,127307
MD-502,246097,18373
MD-503,540660,32217
MD-504,315327,16829
MD-505,809322,72276
MD-506,167522,8671
MD-507,102517,9525
MD-508,360284,23027
MD-509,248472,17341
MD-510,29376,2788
MD-511,158381,17013
MD-512,149811,17902
MD-513,169592,22164
MD-600,906202,78590
MD-601,1040133,71153
ME-500,1297702,159293
MI-500,2341080,338312
MI-501,677155,242274
MI-502,1082339,158612
MI-503,860852,97002
MI-504,1250843,106773
MI-505,409361,80183
MI-506,643140,79362
MI-507,261573,40825
MI-508,291351,54674
MI-509,365961,49170
MI-510,192778,32975
MI-511,98474,11411
MI-512,166787,17364
MI-513,67273,9634
MI-514,134473,22073
MI-515,149699,15747
MI-516,167327,27785
MI-517,158913,20924
MI-518,188482,10489
MI-519,289545,24284
MI-523,109155,11495
MN-500,1238896,133982
MN-501,538075,77120
MN-502,720989,74536
MN-503,1277932,72980
MN-504,125101,15588
MN-505,737402,68199
MN-506,170639,22127
MN-508,241797,25044
MN-509,195055,27314
MN-511,276447,28944
MO-500,998684,94394
MO-501,311273,73172
MO-503,479456,32845
MO-600,410786,64179
MO-602,177440,28239
MO-603,119043,17364
MO-604,1017352,148355
MO-606,2740373,412011
MP-500,NA,NA
MS-500,572308,91033
MS-501,1927927,423167
MS-503,477944,83435
MT-500,1041732,139063
NC-500,371573,63652
NC-501,254474,30609
NC-502,306457,46805
NC-503,5065076,823204
NC-504,523582,80771
NC-505,1054314,131485
NC-506,403499,61916
NC-507,1046558,99877
NC-509,395185,64179
NC-511,332106,57620
NC-513,142938,17633
NC-516,210544,41468
ND-500,752201,79270
NE-500,895119,95173
NE-501,826846,88563
NE-502,255981,36800
NH-500,918968,69263
NH-501,111657,16074
NH-502,299430,16486
NJ-500,251659,32196
NJ-501,929999,64674
NJ-502,446367,28151
NJ-503,1041672,119028
NJ-504,793555,127250
NJ-506,636589,103630
NJ-507,826698,67432
NJ-508,589150,42041
NJ-509,494383,22607
NJ-510,552882,59040
NJ-511,504041,82823
NJ-512,63336,8067
NJ-513,330176,15319
NJ-514,368762,40026
NJ-515,553066,53602
NJ-516,373642,21166
NM-500,507130,92821
NM-501,1585304,306465
NV-500,2141574,299169
NV-501,450486,54171
NV-502,330789,40091
NY-500,744248,106115
NY-501,311591,42744
NY-503,307426,34919
NY-504,77686,12411
NY-505,658627,93342
NY-507,154883,17200
NY-508,1269633,173662
NY-510,102962,17500
NY-511,445664,65587
NY-512,159431,18459
NY-513,259949,26973
NY-514,126909,22701
NY-516,80794,11182
NY-518,302141,41820
NY-519,108536,12960
NY-520,88443,11518
NY-522,250725,36325
NY-523,358260,27823
NY-525,296108,35855
NY-600,8240773,1536891
NY-601,293894,25335
NY-602,378227,43543
NY-603,2780569,176692
NY-604,939011,86167
NY-606,323686,45613
NY-607,75211,10646
NY-608,179303,23840
OH-500,815834,129216
OH-501,423739,79626
OH-502,1239703,218520
OH-503,1316701,205380
OH-504,231064,39441
OH-505,536408,90232
OH-506,541810,69576
OH-507,6125845,755935
OH-508,373475,50408
OK-500,314598,54005
OK-501,697274,103033
OK-502,637963,103584
OK-503,671500,86661
OK-504,203692,28306
OK-505,442489,72561
OK-506,367487,55230
OK-507,533068,99477
OR-500,368882,67022
OR-501,798647,118644
OR-502,214267,34519
OR-503,226120,27145
OR-505,1481542,227027
OR-506,581821,55505
OR-507,405788,34195
PA-500,1575522,380873
PA-501,274515,34158
PA-502,563527,54468
PA-503,317884,45514
PA-504,821301,49866
PA-505,517156,34217
PA-506,416642,51733
PA-508,211454,30748
PA-509,3102535,354763
PA-510,538347,52452
PA-511,626370,37423
PA-512,444014,43381
PA-600,1225561,144842
PA-601,1713485,203779
PA-603,166896,17920
PA-605,274450,42653
PR-502,NA,NA
PR-503,NA,NA
RI-500,1020110,129807
SC-500,1002104,134888
SC-501,1498694,226588
SC-502,1451356,219156
SC-503,978695,188411
SD-500,864289,113144
TN-500,688840,104982
TN-501,937005,189641
TN-502,456185,67732
TN-503,1162808,133952
TN-504,684017,108515
TN-506,574611,90310
TN-507,665950,120101
TN-509,507405,88576
TN-510,307128,35604
TN-512,667140,107095
TX-500,1953952,309586
TX-503,1272913,159722
TX-600,3768636,501299
TX-601,2134042,268169
TX-603,837654,175171
TX-604,362473,65745
TX-607,10749973,1732054
TX-611,189065,28229
TX-624,331960,49245
TX-700,5885564,849911
TX-701,337466,67719
UT-500,1126108,107953
UT-503,1263071,132678
UT-504,656171,69273
VA-500,1072479,118468
VA-501,629406,79759
VA-502,277926,35813
VA-503,450135,33485
VA-504,249281,29099
VA-505,461115,55196
VA-507,88937,15445
VA-508,260668,35068
VA-513,366385,43920
VA-514,359967,24184
VA-521,1680676,262706
VA-600,231803,16360
VA-601,1181461,72290
VA-602,385143,14223
VA-603,156505,16432
VA-604,514629,35654
VI-500,NA,NA
VT-500,462925,49118
VT-501,162052,17916
WA-500,2157733,203307
WA-501,2442942,339294
WA-502,497875,69738
WA-503,832862,92288
WA-504,779057,62070
WA-508,473573,43757
WI-500,4065905,395102
WI-501,945885,185295
WI-502,185342,20556
WI-503,529843,61414
WV-500,142258,20413
WV-501,136026,29594
WV-503,273964,44209
WV-508,1276806,221248
WY-500,581836,63311
