FIPS,State,County,No Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Quartile,Ratio
"01000",Alabama,,"3160","65","1543",,"1543"
"01001",Alabama,Autauga,"25","45","2220","2","2220"
"01003",Alabama,Baldwin,"155","73","1372","1","1372"
"01005",Alabama,Barbour,"8","32","3159","3","3159"
"01007",Alabama,Bibb,"11","49","2061","2","2061"
"01009",Alabama,Blount,"13","22","4463","4","4463"
"01011",Alabama,Bullock,"3","29","3436","4","3436"
"01013",Alabama,Butler,"5","25","3965","4","3965"
"01015",Alabama,Calhoun,"73","64","1572","1","1572"
"01017",Alabama,Chambers,"14","42","2408","2","2408"
"01019",Alabama,Cherokee,"10","39","2586","3","2586"
"01021",Alabama,Chilton,"9","20","4896","4","4896"
"01023",Alabama,Choctaw,"5","39","2589","3","2589"
"01025",Alabama,Clarke,"13","54","1853","1","1853"
"01027",Alabama,Clay,"5","37","2673","3","2673"
"01029",Alabama,Cleburne,"4","27","3725","4","3725"
"01031",Alabama,Coffee,"28","54","1853","2","1853"
"01033",Alabama,Colbert,"35","64","1557","1","1557"
"01035",Alabama,Conecuh,"5","40","2494","3","2494"
"01037",Alabama,Coosa,,,,"2",
"01039",Alabama,Covington,"19","51","1952","2","1952"
"01041",Alabama,Crenshaw,"2","14","6936","4","6936"
"01043",Alabama,Cullman,"46","56","1799","1","1799"
"01045",Alabama,Dale,"9","18","5470","4","5470"
"01047",Alabama,Dallas,"29","74","1352","1","1352"
"01049",Alabama,DeKalb,"30","42","2387","2","2387"
"01051",Alabama,Elmore,"21","26","3889","4","3889"
"01053",Alabama,Escambia,"13","35","2881","3","2881"
"01055",Alabama,Etowah,"83","81","1238","1","1238"
"01057",Alabama,Fayette,"16","97","1029","1","1029"
"01059",Alabama,Franklin,"14","44","2250","2","2250"
"01061",Alabama,Geneva,"8","30","3303","4","3303"
"01063",Alabama,Greene,"4","48","2083","2","2083"
"01065",Alabama,Hale,"3","20","4937","4","4937"
"01067",Alabama,Henry,"5","29","3429","4","3429"
"01069",Alabama,Houston,"88","84","1186","1","1186"
"01071",Alabama,Jackson,"28","54","1854","2","1854"
"01073",Alabama,Jefferson,"709","108","930","1","930"
"01075",Alabama,Lamar,,,,"2",
"01077",Alabama,Lauderdale,"47","51","1969","2","1969"
"01079",Alabama,Lawrence,"5","15","6610","4","6610"
"01081",Alabama,Lee,"85","53","1901","2","1901"
"01083",Alabama,Limestone,"32","34","2950","3","2950"
"01085",Alabama,Lowndes,"1","10","10076","4","10076"
"01087",Alabama,Macon,"7","37","2679","3","2679"
"01089",Alabama,Madison,"319","88","1132","1","1132"
"01091",Alabama,Marengo,"7","36","2768","3","2768"
"01093",Alabama,Marion,"10","34","2983","3","2983"
"01095",Alabama,Marshall,"53","55","1803","1","1803"
"01097",Alabama,Mobile,"278","67","1489","1","1489"
"01099",Alabama,Monroe,"8","38","2666","3","2666"
"01101",Alabama,Montgomery,"221","98","1026","1","1026"
"01103",Alabama,Morgan,"58","49","2049","2","2049"
"01105",Alabama,Perry,"3","32","3113","3","3113"
"01107",Alabama,Pickens,"8","40","2522","3","2522"
"01109",Alabama,Pike,"16","48","2079","2","2079"
"01111",Alabama,Randolph,"7","31","3239","4","3239"
"01113",Alabama,Russell,"15","26","3803","4","3803"
"01115",Alabama,St. Clair,"15","17","5880","4","5880"
"01117",Alabama,Shelby,"172","81","1242","1","1242"
"01119",Alabama,Sumter,"7","55","1812","1","1812"
"01121",Alabama,Talladega,"25","31","3203","3","3203"
"01123",Alabama,Tallapoosa,"20","49","2034","2","2034"
"01125",Alabama,Tuscaloosa,"150","72","1385","1","1385"
"01127",Alabama,Walker,"26","41","2464","3","2464"
"01129",Alabama,Washington,"3","18","5510","4","5510"
"01131",Alabama,Wilcox,"4","37","2680","3","2680"
"01133",Alabama,Winston,"10","42","2372","2","2372"
"02000",Alaska,,"673","91","1099",,"1099"
"02013",Alaska,Aleutians East,,,,,
"02016",Alaska,Aleutians West,"2","35","2882","4","2882"
"02020",Alaska,Anchorage,"325","110","906","2","906"
"02050",Alaska,Bethel,"18","100","1004","3","1004"
"02060",Alaska,Bristol Bay,"0","0","867",,"867"
"02068",Alaska,Denali,,,,"2",
"02070",Alaska,Dillingham,"13","264","379","1","379"
"02090",Alaska,Fairbanks North Star,"78","78","1278","3","1278"
"02100",Alaska,Haines,"7","277","361","1","361"
"02105",Alaska,Hoonah-Angoon,,,,"2",
"02110",Alaska,Juneau,"41","128","783","1","783"
"02122",Alaska,Kenai Peninsula,"46","78","1274","3","1274"
"02130",Alaska,Ketchikan Gateway,"14","101","990","3","990"
"02150",Alaska,Kodiak Island,"17","126","791","1","791"
"02158",Alaska,Kusilvak,,,,"2",
"02164",Alaska,Lake and Peninsula,"0","0","1620","4","1620"
"02170",Alaska,Matanuska-Susitna,"48","45","2219","4","2219"
"02180",Alaska,Nome,"9","91","1102","3","1102"
"02185",Alaska,North Slope,"3","31","3261","4","3261"
