FIPS,State,County,No Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio
1000,Alabama,,3160,65,1543
1001,Alabama,Autauga,25,45,2220
1003,Alabama,Baldwin,155,73,1372
1005,Alabama,Barbour,8,32,3159
1007,Alabama,Bibb,11,49,2061
1009,Alabama,Blount,13,22,4463
1011,Alabama,Bullock,3,29,3436
1013,Alabama,Butler,5,25,3965
1015,Alabama,Calhoun,73,64,1572
1017,Alabama,Chambers,14,42,2408
1019,Alabama,Cherokee,10,39,2586
1021,Alabama,Chilton,9,20,4896
1023,Alabama,Choctaw,5,39,2589
1025,Alabama,Clarke,13,54,1853
1027,Alabama,Clay,5,37,2673
1029,Alabama,Cleburne,4,27,3725
1031,Alabama,Coffee,28,54,1853
1033,Alabama,Colbert,35,64,1557
1035,Alabama,Conecuh,5,40,2494
1037,Alabama,Coosa,,,
1039,Alabama,Covington,19,51,1952
1041,Alabama,Crenshaw,2,14,6936
1043,Alabama,Cullman,46,56,1799
1045,Alabama,Dale,9,18,5470
1047,Alabama,Dallas,29,74,1352
1049,Alabama,DeKalb,30,42,2387
1051,Alabama,Elmore,21,26,3889
1053,Alabama,Escambia,13,35,2881
1055,Alabama,Etowah,83,81,1238
1057,Alabama,Fayette,16,97,1029
1059,Alabama,Franklin,14,44,2250
1061,Alabama,Geneva,8,30,3303
1063,Alabama,Greene,4,48,2083
1065,Alabama,Hale,3,20,4937
1067,Alabama,Henry,5,29,3429
1069,Alabama,Houston,88,84,1186
1071,Alabama,Jackson,28,54,1854
1073,Alabama,Jefferson,709,108,930
1075,Alabama,Lamar,,,
1077,Alabama,Lauderdale,47,51,1969
1079,Alabama,Lawrence,5,15,6610
1081,Alabama,Lee,85,53,1901
1083,Alabama,Limestone,32,34,2950
1085,Alabama,Lowndes,1,10,10076
1087,Alabama,Macon,7,37,2679
1089,Alabama,Madison,319,88,1132
1091,Alabama,Marengo,7,36,2768
1093,Alabama,Marion,10,34,2983
1095,Alabama,Marshall,53,55,1803
1097,Alabama,Mobile,278,67,1489
1099,Alabama,Monroe,8,38,2666
1101,Alabama,Montgomery,221,98,1026
1103,Alabama,Morgan,58,49,2049
1105,Alabama,Perry,3,32,3113
1107,Alabama,Pickens,8,40,2522
1109,Alabama,Pike,16,48,2079
1111,Alabama,Randolph,7,31,3239
1113,Alabama,Russell,15,26,3803
1115,Alabama,St. Clair,15,17,5880
1117,Alabama,Shelby,172,81,1242
1119,Alabama,Sumter,7,55,1812
1121,Alabama,Talladega,25,31,3203
1123,Alabama,Tallapoosa,20,49,2034
1125,Alabama,Tuscaloosa,150,72,1385
1127,Alabama,Walker,26,41,2464
1129,Alabama,Washington,3,18,5510
1131,Alabama,Wilcox,4,37,2680
1133,Alabama,Winston,10,42,2372
2000,Alaska,,673,91,1099
2013,Alaska,Aleutians East,,,
2016,Alaska,Aleutians West,2,35,2882
2020,Alaska,Anchorage,325,110,906
2050,Alaska,Bethel,18,100,1004
2060,Alaska,Bristol Bay,0,0,867
2068,Alaska,Denali,,,
2070,Alaska,Dillingham,13,264,379
2090,Alaska,Fairbanks North Star,78,78,1278
2100,Alaska,Haines,7,277,361
2105,Alaska,Hoonah-Angoon,,,
2110,Alaska,Juneau,41,128,783
2122,Alaska,Kenai Peninsula,46,78,1274
2130,Alaska,Ketchikan Gateway,14,101,990
2150,Alaska,Kodiak Island,17,126,791
2158,Alaska,Kusilvak,,,
2164,Alaska,Lake and Peninsula,0,0,1620
2170,Alaska,Matanuska-Susitna,48,45,2219
2180,Alaska,Nome,9,91,1102
2185,Alaska,North Slope,3,31,3261
2188,Alaska,Northwest Arctic,4,52,1921
2195,Alaska,Petersburg,6,183,547
2198,Alaska,Prince of Wales-Hyder,5,78,1289
2220,Alaska,Sitka,17,196,511
2230,Alaska,Skagway,0,0,1157
2240,Alaska,Southeast Fairbanks,7,102,984
2261,Alaska,Valdez-Cordova,9,97,1031
2275,Alaska,Wrangell,3,119,840
2282,Alaska,Yakutat,0,0,605
2290,Alaska,Yukon-Koyukuk,1,19,5365
4000,Arizona,,4663,66,1505
4001,Arizona,Apache,23,32,3113
4003,Arizona,Cochise,68,55,1835
4005,Arizona,Coconino,119,85,1183
4007,Arizona,Gila,25,47,2140
4009,Arizona,Graham,22,59,1703
4011,Arizona,Greenlee,5,53,1891
4012,Arizona,La Paz,6,29,3434
4013,Arizona,Maricopa,3030,70,1421
4015,Arizona,Mohave,102,49,2031
4017,Arizona,Navajo,68,62,1602
4019,Arizona,Pima,863,84,1185
4021,Arizona,Pinal,69,16,6235
