"","county_fips","state","county","coc_number","coc_name","coc_category","est_coc_homeless_2019","primary_care_physicians_rate","pct_in_poverty_in_cnty","total_new_shelter_beds_required_in_coc","upenn_additional_bed_capacity_needed_in_cnty","county_pop_2018","coc_pop_2019"
"1","04013","Arizona","Maricopa","AZ-502","Phoenix, Mesa/Maricopa County","Major City CoC",0.187631312661963,70,14.7317845129714,5322,5322,4198378,4258868
"2","04021","Arizona","Pinal","AZ-502","Phoenix, Mesa/Maricopa County","Major City CoC",0.187631312661963,16,14.2388478205455,5322,465,392300,4258868
"3","06007","California","Butte","CA-519","Chico, Paradise/Butte County","Largely Rural CoC",0.679964929605573,61,20.0734958438236,1296,1297,221237,227075
"4","06019","California","Fresno","CA-514","Fresno City & County/Madera County","Major City CoC",0.277124660485818,67,24.1279033498991,3003,2068,961820,1133143
"5","06023","California","Humboldt","CA-522","Humboldt County","Largely Rural CoC",1.67713393767975,69,20.3475162851083,2057,2058,132483,134391
"6","06025","California","Imperial","CA-613","Imperial County","Largely Suburban CoC",1.00145792420435,24,24.1664564351382,1763,1763,170447,180216
"7","06029","California","Kern","CA-604","Bakersfield/Kern County","Other Largely Urban CoC",0.194214399510028,49,21.9800757431682,1301,1301,851826,883053
"8","06031","California","Kings","CA-513","Visalia/Kings, Tulare Counties","Other Largely Urban CoC",0.219651294490737,40,20.8256397707133,1179,644,134853,610552
"9","06037","California","Los Angeles","CA-600","Los Angeles City & County","Major City CoC",0.757773910966608,73,15.982992820824,62884,62884,9947799,9250051
"10","06037","California","Los Angeles","CA-606","Long Beach","Major City CoC",0.513837091109538,73,15.982992820824,2020,2020,9947799,453495
"11","06037","California","Los Angeles","CA-607","Pasadena","Other Largely Urban CoC",0.496135136163728,73,15.982992820824,521,521,9947799,138560
"12","06039","California","Madera","CA-514","Fresno City & County/Madera County","Major City CoC",0.277124660485818,44,20.841747625805,3003,936,146576,1133143
"13","06047","California","Merced","CA-520","Merced City & County","Largely Suburban CoC",0.291297648091958,44,22.6868259738679,475,475,262972,269075
"14","06053","California","Monterey","CA-506","Salinas/Monterey, San Benito Counties","Largely Rural CoC",0.704002233965262,60,14.1102687006312,2968,2181,416002,490898
"15","06073","California","San Diego","CA-601","San Diego City and County","Major City CoC",0.30726619140226,80,12.515609978839,7446,7447,3221497,3285592
"16","06077","California","San Joaquin","CA-511","Stockton/San Joaquin County","Other Largely Urban CoC",0.384599077290193,58,15.9192712685944,2458,2458,717960,732212
"17","06083","California","Santa Barbara","CA-603","Santa Maria/Santa Barbara County","Largely Suburban CoC",0.528270306051523,76,14.8429954535818,1758,1758,424510,443738
