"","county_fips","state","county","coc_number","coc_name","coc_category","est_coc_homeless_2019","primary_care_physicians_rate","pct_in_poverty_in_cnty","additional_bed_capacity_needed","county_pop_2018","coc_pop_2019","pit_count_from_2019","coc_pop_in_pov_2019","observed_unsheltered_homeless","estimated_total_unsheltered","sheltered_homeless_individuals","density_reduction_bed_need","total_new_shelter_beds_required_in_coc","total_beds_required","upenn_cost_of_new_capacity_in_coc","cost_of_quarantine_beds","total_additional_cost","upenn_num_of_hospitalizations_in_cnty","upenn_num_of_critical_cases_in_cnty","upenn_num_of_fatalities_in_cnty"
"1","01001","Alabama","Autauga","AL-504","Montgomery City & County","Other Largely Urban CoC",0.10148761335121,45,15.3784351319273,28,54765,383941,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,2,1,0
"2","01003","Alabama","Baldwin","AL-501","Mobile City & County/Baldwin County","Other Largely Urban CoC",0.0986446629946029,73,10.5660985024082,94,204929,605701,505,97891,202,282.8,150,75,357,790.6,8945000,1298400,10243400,5,2,1
"3","01005","Alabama","Barbour","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,32,28.8633181659083,4,22856,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"4","01007","Alabama","Bibb","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,49,13.9876880984952,5,20468,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"5","01009","Alabama","Blount","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,22,14.4003363582215,11,57082,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,0,0
"6","01011","Alabama","Bullock","AL-504","Montgomery City & County","Other Largely Urban CoC",0.10148761335121,29,31.3856090422848,5,9909,383941,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,0,0,0
"7","01013","Alabama","Butler","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,25,23.5449332724413,3,19707,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"8","01015","Alabama","Calhoun","No CoC","No CoC","No CoC",NA,64,18.5915467802574,NA,111981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","01017","Alabama","Chambers","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,42,16.6225882070085,7,33274,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"10","01019","Alabama","Cherokee","No CoC","No CoC","No CoC",NA,39,15.007254617466,NA,25501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","01021","Alabama","Chilton","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,20,18.5714285714286,8,43260,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"12","01023","Alabama","Choctaw","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,39,22.2446601941748,2,12875,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"13","01025","Alabama","Clarke","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,54,25.4058339940742,3,23963,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"14","01027","Alabama","Clay","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,37,18.4432515337423,3,13040,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"15","01029","Alabama","Cleburne","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,27,18.5483320826796,3,14659,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"16","01031","Alabama","Coffee","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,54,15.0568294324977,9,50502,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"17","01033","Alabama","Colbert","AL-502","Florence/Northwest Alabama","Largely Rural CoC",0.171251979759835,64,16.2712303902502,83,53991,265633,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,4,2,1
"18","01035","Alabama","Conecuh","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,40,22.2276068168969,2,12381,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"19","01037","Alabama","Coosa","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,NA,13.9590508993494,2,10452,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"20","01039","Alabama","Covington","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,51,18.318482479637,5,36586,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"21","01041","Alabama","Crenshaw","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,14,15.7235927091721,3,13661,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"22","01043","Alabama","Cullman","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,56,15.8376123234917,14,81016,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,0,0
"23","01045","Alabama","Dale","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,18,18.3850879759268,12,47854,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,0,0
"24","01047","Alabama","Dallas","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,74,31.0884906330913,6,39394,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"25","01049","Alabama","DeKalb","No CoC","No CoC","No CoC",NA,42,22.075055187638,NA,70215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","01051","Alabama","Elmore","AL-504","Montgomery City & County","Other Largely Urban CoC",0.10148761335121,26,12.3391103634443,38,76683,383941,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,3,1,0
"27","01053","Alabama","Escambia","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,35,24.0467672977925,5,34383,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"28","01055","Alabama","Etowah","No CoC","No CoC","No CoC",NA,81,17.2589032461393,NA,101536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","01057","Alabama","Fayette","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,97,20.0479970463356,4,16251,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"30","01059","Alabama","Franklin","AL-502","Florence/Northwest Alabama","Largely Rural CoC",0.171251979759835,44,20.2351505027466,46,31129,265633,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,2,1,0
"31","01061","Alabama","Geneva","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,30,23.9981663292203,6,26177,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"32","01063","Alabama","Greene","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,48,38.650527325024,2,8344,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"33","01065","Alabama","Hale","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,20,26.0035499726925,3,14648,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"34","01067","Alabama","Henry","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,29,13.536076326774,4,16770,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"35","01069","Alabama","Houston","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,84,18.3111136929139,23,103287,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,0,0
"36","01071","Alabama","Jackson","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,54,20.2102894389695,6,51548,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"37","01073","Alabama","Jefferson","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties","Largely Suburban CoC",0.126666224416556,108,17.0047771539818,423,645154,958459,981,138532,326,456.4,466,233,689,1611.8,17235000,2767200,20002200,25,8,4
"38","01075","Alabama","Lamar","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,NA,21.2119007783516,3,13747,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"39","01077","Alabama","Lauderdale","AL-502","Florence/Northwest Alabama","Largely Rural CoC",0.171251979759835,51,15.1778297132351,122,90283,265633,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,7,2,1
"40","01079","Alabama","Lawrence","AL-502","Florence/Northwest Alabama","Largely Rural CoC",0.171251979759835,15,16.7523343167371,45,32879,265633,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,2,1,0
"41","01081","Alabama","Lee","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,53,21.399877398234,29,153342,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,1,0
"42","01083","Alabama","Limestone","AL-503","Huntsville/North Alabama","Other Largely Urban CoC",0.0929963616978437,34,13.7450331860863,45,90098,569734,464,76264,87,121.8,253,126.5,248,623.1,6207500,1124400,7331900,3,1,1
"43","01085","Alabama","Lowndes","AL-504","Montgomery City & County","Other Largely Urban CoC",0.10148761335121,10,27.9235567878008,5,10099,383941,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,0,0,0
"44","01087","Alabama","Macon","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,37,25.7790028763183,5,16688,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"45","01089","Alabama","Madison","AL-503","Huntsville/North Alabama","Other Largely Urban CoC",0.0929963616978437,88,13.1980978198442,137,348232,569734,464,76264,87,121.8,253,126.5,248,623.1,6207500,1124400,7331900,9,3,2
"46","01091","Alabama","Marengo","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,36,21.8245103641748,3,19249,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"47","01093","Alabama","Marion","AL-502","Florence/Northwest Alabama","Largely Rural CoC",0.171251979759835,34,17.4591860978176,39,29463,265633,390,43256,201,281.4,182,91,372,835.8,9310000,1390200,10700200,2,1,0
"48","01095","Alabama","Marshall","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,55,21.6884929726043,19,93847,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,1,0,0
"49","01097","Alabama","Mobile","AL-501","Mobile City & County/Baldwin County","Other Largely Urban CoC",0.0986446629946029,67,19.2803875405229,264,405635,605701,505,97891,202,282.8,150,75,357,790.6,8945000,1298400,10243400,14,4,2
"50","01099","Alabama","Monroe","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,38,30.9102044662207,3,21226,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"51","01101","Alabama","Montgomery","AL-504","Montgomery City & County","Other Largely Urban CoC",0.10148761335121,98,20.6941897555138,89,219767,383941,330,69293,57,79.8,171,85.5,165,416.1,4132500,752400,4884900,6,2,1
"52","01103","Alabama","Morgan","AL-503","Huntsville/North Alabama","Other Largely Urban CoC",0.0929963616978437,49,15.3019836220957,66,117109,569734,464,76264,87,121.8,253,126.5,248,623.1,6207500,1124400,7331900,4,1,1
"53","01105","Alabama","Perry","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,32,41.7503752453527,2,8661,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
"54","01107","Alabama","Pickens","AL-507","Alabama Balance of State","Largely Rural CoC",0.0253169495221961,40,23.4863747216626,3,18862,1484631,323,298975,169,236.6,89,44.5,281,606.7,7027500,976800,8004300,0,0,0
